1;肖申克的救赎 The Shawshank Redemption;['监狱', '黑钱', '利用自身', '牢狱', '专业知识']
2;这个杀手不太冷 Léon;['邻居家', '职业杀手', '眼线', '加里', '毒品']
3;阿甘正传 Forrest Gump;['阿拉巴马州', '弱智', '智商', '性格', '女性']
4;盗梦空间 Inception;['梦境', '渡边', '中种', '劳饰', '药剂师']
5;霸王别姬;['程蝶衣', '人生', '戏剧', '长大', '京城']
6;泰坦尼克号 Titanic;['处女航', '南安普顿', '温丝', '头等舱', '未婚夫']
7;我不是药神;['买药', '思慧', '药贩子', '文饰', '正牌']
8;千与千寻 千と千尋の神隠し;['新家', '驱车', '半透明', '香味', '隧道']
9;三傻大闹宝莱坞 3 Idiots;['法兰', '学生', '校长', '本片', '消音器']
10;流浪地球;['发动机', '地球', '太阳系', '全球', '太阳']
11;怦然心动 Flipped;['鸡蛋', '外公', '家人', '邻家女孩', '梧桐树']
12;疯狂动物城 Zootopia;['类动物', '警校', '故事', '动物', '食草']
13;让子弹飞;['鹅城', '县长', '麻子', '天高皇帝远', '黄则']
14;海上钢琴师 La leggenda del pianista sull'oceano;['本片', '天才', '钢琴', '传奇']
15;当幸福来敲门 The Pursuit of Happyness;['儿子', '治疗仪', '收容所', '公共厕所', '地铁站']
16;少年派的奇幻漂流 Life of Pi;['加拿大', '故事', '救生船', '苏拉', '货船']
17;星际穿越 Interstellar;['宇航员', '女儿', '秋葵', '雅西', '罗米利']
18;大话西游之大圣娶亲 西遊記大結局之仙履奇緣;['月光宝盒', '仙子', '烙印']
19;摔跤吧！爸爸 Dangal;['哈维亚', '纱卡', '赢得荣誉', '汗饰', '职业生涯']
20;楚门的世界 The Truman Show;['楚门', '总因', '倍感', '理由', '男人']
21;机器人总动员 WALL·E;['地球', '垃圾', '废品', '飞船', '机器人']
22;忠犬八公的故事 Hachi: A Dog's Tale;['八公', '疼爱', '车站', '妻子', '谜一样']
23;头号玩家 Ready Player One;['彩蛋', '虚拟现实', '绿洲', '钥匙', '游戏']
24;寻梦环游记 Coco;['音乐', '数代', '配音', '生者', '制鞋']
25;飞屋环游记 Up;['假小子', '爱侣', '偶遇', '小男孩', '飞船']
26;阿凡达 Avatar;['部落', '利萨', '人类基因', '西格', '同胞']
27;放牛班的春天 Les choristes;['学校', '体罚', '司空见惯', '音乐家', '外号']
28;龙猫 となりのトトロ;['龙猫', '妹妹', '环境', '乡间', '生病']
29;美丽人生 La vita è bella;['圭多', '早安', '公主', '教师', '美丽']
30;你的名字。 君の名は。;['配音', '身份', '男孩', '陌生', '东京']
31;无间道 無間道;['卧底', '终极目标', '身背', '警察部队', '红人']
32;剪刀手爱德华 Edward Scissorhands;['古堡', '剪刀手', '饰金', '带回家', '推销员']
33;大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒;['月光宝盒', '投胎', '罪孽', '合谋', '观音']
34;天使爱美丽 Le fabuleux destin d'Amélie Poulain;['图饰', '健康检查', '绝缘', '患上', '心脏病']
35;辛德勒的名单 Schindler's List;['社交能力', '森饰', '搪瓷厂', '军需', '出众']
36;红海行动;['维亚', '人质', '博士', '蛟龙', '原料']
37;V字仇杀队 V for Vendetta;['极权', '同性恋者', '异教徒', '社会', '高压']
